<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
BZ;D;20201122;000000;45.1300000
BZ;D;20201123;000000;46.4500000
BZ;D;20201124;000000;48.2500000
BZ;D;20201125;000000;48.8100000
BZ;D;20201126;000000;47.8500000
BZ;D;20201127;000000;48.3000000
BZ;D;20201129;000000;47.8100000
BZ;D;20201130;000000;47.6100000
BZ;D;20201201;000000;47.0300000
BZ;D;20201202;000000;48.1200000
BZ;D;20201203;000000;49.4500000
BZ;D;20201204;000000;49.0300000
BZ;D;20201206;000000;49.0600000
BZ;D;20201207;000000;48.4200000
BZ;D;20201208;000000;48.6500000
BZ;D;20201209;000000;49.0100000
BZ;D;20201210;000000;50.1800000
BZ;D;20201211;000000;50.0700000
BZ;D;20201213;000000;50.0800000
BZ;D;20201214;000000;49.8900000
BZ;D;20201215;000000;50.6200000
BZ;D;20201216;000000;51.5000000
BZ;D;20201217;000000;51.3800000
BZ;D;20201218;000000;52.3700000
BZ;D;20201220;000000;51.6000000
BZ;D;20201221;000000;50.7000000
BZ;D;20201222;000000;49.3800000
BZ;D;20201223;000000;51.6800000
BZ;D;20201224;000000;51.3000000
BZ;D;20201227;000000;50.9700000
BZ;D;20201228;000000;51.1200000
BZ;D;20201229;000000;51.4100000
BZ;D;20201230;000000;51.5600000
BZ;D;20201231;000000;51.7200000
BZ;D;20210103;000000;51.7400000
BZ;D;20210104;000000;50.6700000
BZ;D;20210105;000000;53.5700000
BZ;D;20210106;000000;54.1500000
BZ;D;20210107;000000;54.5200000
BZ;D;20210108;000000;56.3600000
BZ;D;20210110;000000;55.8900000
BZ;D;20210111;000000;55.6200000
BZ;D;20210112;000000;56.7800000
BZ;D;20210113;000000;55.9100000
BZ;D;20210114;000000;56.4600000
BZ;D;20210115;000000;55.0000000
BZ;D;20210117;000000;54.8900000
BZ;D;20210118;000000;54.7900000
BZ;D;20210119;000000;55.9300000
BZ;D;20210120;000000;55.6900000
BZ;D;20210121;000000;56.1700000
BZ;D;20210122;000000;55.2100000
BZ;D;20210124;000000;55.4000000
BZ;D;20210125;000000;55.9100000
BZ;D;20210126;000000;55.8700000
BZ;D;20210127;000000;55.3000000
BZ;D;20210128;000000;55.0300000
BZ;D;20210129;000000;55.1000000
BZ;D;20210131;000000;54.9100000
BZ;D;20210201;000000;56.2100000
BZ;D;20210202;000000;57.8200000
BZ;D;20210203;000000;58.6700000
BZ;D;20210204;000000;59.1100000
BZ;D;20210205;000000;59.6200000
BZ;D;20210207;000000;59.9100000
BZ;D;20210208;000000;60.6600000
BZ;D;20210209;000000;61.2900000
BZ;D;20210210;000000;61.1000000
BZ;D;20210211;000000;60.8600000
BZ;D;20210212;000000;62.7100000
BZ;D;20210213;000000;62.4300000
BZ;D;20210214;000000;63.0900000
BZ;D;20210215;000000;63.3300000
BZ;D;20210216;000000;63.5600000
BZ;D;20210217;000000;64.8900000
BZ;D;20210218;000000;63.5300000
BZ;D;20210219;000000;62.8400000
BZ;D;20210220;000000;62.9100000
BZ;D;20210221;000000;63.3200000
BZ;D;20210222;000000;65.8000000
BZ;D;20210223;000000;65.0900000
BZ;D;20210224;000000;67.3100000
BZ;D;20210225;000000;67.0800000
BZ;D;20210226;000000;64.6300000
BZ;D;20210227;000000;64.4200000
BZ;D;20210228;000000;65.3800000
BZ;D;20210301;000000;63.3100000
BZ;D;20210302;000000;62.6200000
BZ;D;20210303;000000;63.9900000
BZ;D;20210304;000000;67.2600000
BZ;D;20210305;000000;69.6900000
BZ;D;20210306;000000;69.3600000
BZ;D;20210307;000000;70.4200000
BZ;D;20210308;000000;68.1200000
BZ;D;20210309;000000;67.3000000
BZ;D;20210310;000000;68.1800000
