<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
CA;D;20201122;000000;7243.3118650
CA;D;20201123;000000;7206.9354700
CA;D;20201124;000000;7291.8137250
CA;D;20201125;000000;7300.6322450
CA;D;20201126;000000;7381.1012400
CA;D;20201127;000000;7505.6628350
CA;D;20201129;000000;7557.4716400
CA;D;20201130;000000;7616.9966500
CA;D;20201201;000000;7699.6702750
CA;D;20201202;000000;7689.7494400
CA;D;20201203;000000;7674.3170300
CA;D;20201204;000000;7774.6276950
CA;D;20201206;000000;7777.9346400
CA;D;20201207;000000;7727.2281500
CA;D;20201208;000000;7715.1026850
CA;D;20201209;000000;7707.3864800
CA;D;20201210;000000;7901.3939200
CA;D;20201211;000000;7790.0601050
CA;D;20201213;000000;7807.6971450
CA;D;20201214;000000;7753.6837100
CA;D;20201215;000000;7802.1855700
CA;D;20201216;000000;7858.4036350
CA;D;20201217;000000;7943.2818900
CA;D;20201218;000000;8023.7508850
CA;D;20201220;000000;8001.7045850
CA;D;20201221;000000;7901.3939200
CA;D;20201222;000000;7768.0138050
CA;D;20201223;000000;7819.8226100
CA;D;20201224;000000;7873.8360450
CA;D;20201227;000000;7880.4499350
CA;D;20201228;000000;7892.5754000
CA;D;20201229;000000;7830.8457600
CA;D;20201230;000000;7824.2318700
CA;D;20201231;000000;7755.8883400
CA;D;20210103;000000;7793.3670500
CA;D;20210104;000000;7857.3013200
CA;D;20210105;000000;8043.5925550
CA;D;20210106;000000;8074.4573750
CA;D;20210107;000000;8172.5634100
CA;D;20210108;000000;8142.8009050
CA;D;20210110;000000;8082.1735800
CA;D;20210111;000000;7866.1198400
CA;D;20210112;000000;8021.5462550
CA;D;20210113;000000;7977.4536550
CA;D;20210114;000000;8090.9921000
CA;D;20210115;000000;7936.6680000
CA;D;20210117;000000;7881.5522500
CA;D;20210118;000000;7973.0443950
CA;D;20210119;000000;8008.3184750
CA;D;20210120;000000;8038.0809800
CA;D;20210121;000000;8040.2856100
CA;D;20210122;000000;7975.2490250
CA;D;20210124;000000;7991.7837500
CA;D;20210125;000000;8010.5231050
CA;D;20210126;000000;7984.0675450
CA;D;20210127;000000;7793.3670500
CA;D;20210128;000000;7874.9383600
CA;D;20210129;000000;7808.7994600
CA;D;20210131;000000;7798.8786250
CA;D;20210201;000000;7842.9712250
CA;D;20210202;000000;7781.2415850
CA;D;20210203;000000;7876.0406750
CA;D;20210204;000000;7848.4828000
CA;D;20210205;000000;8024.8532000
CA;D;20210207;000000;8024.8532000
CA;D;20210208;000000;8107.5268250
CA;D;20210209;000000;8195.7120250
CA;D;20210210;000000;8304.8412100
CA;D;20210211;000000;8334.6037150
CA;D;20210212;000000;8375.3893700
CA;D;20210214;000000;8378.6963150
CA;D;20210215;000000;8424.9935450
CA;D;20210216;000000;8440.4259550
CA;D;20210217;000000;8429.4028050
CA;D;20210218;000000;8606.8755200
CA;D;20210219;000000;8966.2302100
CA;D;20210221;000000;9046.6992050
CA;D;20210222;000000;9121.6566250
CA;D;20210223;000000;9251.7297950
CA;D;20210224;000000;9540.5363250
CA;D;20210225;000000;9283.6969300
CA;D;20210226;000000;9038.9830000
CA;D;20210228;000000;9150.3168150
CA;D;20210301;000000;9072.0524500
CA;D;20210302;000000;9272.6737800
CA;D;20210303;000000;9000.4019750
CA;D;20210304;000000;8658.6843250
CA;D;20210305;000000;9038.9830000
CA;D;20210307;000000;9163.5445950
CA;D;20210308;000000;9016.9367000
CA;D;20210309;000000;8851.5894500
CA;D;20210310;000000;8887.9658450
CA;D;20210311;000000;9122.7589400
CA;D;20210312;000000;9165.7492250
CA;D;20210314;000000;9206.5348800
CA;D;20210315;000000;9113.9404200
CA;D;20210316;000000;8951.9001150
CA;D;20210317;000000;9152.5214450
CA;D;20210318;000000;8972.8441000
CA;D;20210319;000000;9047.8015200
CA;D;20210321;000000;9016.9367000
CA;D;20210322;000000;9140.3959800
CA;D;20210323;000000;8879.1473250
CA;D;20210324;000000;8873.6357500
CA;D;20210325;000000;8821.8269450
CA;D;20210326;000000;8991.5834550
CA;D;20210328;000000;8990.4811400
CA;D;20210329;000000;8912.2167750
CA;D;20210330;000000;8776.6320300
CA;D;20210331;000000;8790.9621250
CA;D;20210401;000000;8848.2825050
CA;D;20210402;000000;8797.5760150
CA;D;20210403;000000;8797.5760150
CA;D;20210404;000000;8904.5005700
CA;D;20210405;000000;9129.3728300
CA;D;20210406;000000;9050.0061500
CA;D;20210407;000000;8954.1047450
CA;D;20210408;000000;9018.0390150
CA;D;20210409;000000;8917.7283500
CA;D;20210411;000000;8939.7746500
CA;D;20210412;000000;8857.1010250
CA;D;20210413;000000;8901.1936250
CA;D;20210414;000000;9066.5408750
CA;D;20210415;000000;9326.6872150
CA;D;20210416;000000;9183.3862650
CA;D;20210418;000000;9172.3631150
CA;D;20210419;000000;9341.0173100
CA;D;20210420;000000;9282.5946150
CA;D;20210421;000000;9452.3511250
CA;D;20210422;000000;9407.1562100
CA;D;20210423;000000;9552.6617900
CA;D;20210425;000000;9555.9687350
CA;D;20210426;000000;9798.4780350
CA;D;20210427;000000;9894.3794400
CA;D;20210428;000000;9921.9373150
CA;D;20210429;000000;9889.9701800
CA;D;20210430;000000;9823.8312800
CA;D;20210502;000000;9866.8215650
CA;D;20210503;000000;9975.9507500
CA;D;20210504;000000;10036.5780750
CA;D;20210505;000000;9967.1322300
CA;D;20210506;000000;10158.9350400
CA;D;20210507;000000;10469.7878700
CA;D;20210509;000000;10505.0619500
CA;D;20210510;000000;10371.6818350
CA;D;20210511;000000;10562.3823300
CA;D;20210512;000000;10412.4674900
CA;D;20210513;000000;10325.3846050
CA;D;20210514;000000;10281.2920050
CA;D;20210516;000000;10294.5197850
CA;D;20210517;000000;10391.5235050
CA;D;20210518;000000;10387.1142450
CA;D;20210519;000000;10078.4660450
CA;D;20210520;000000;10011.2248300
CA;D;20210521;000000;9941.7789850
CA;D;20210523;000000;9919.7326850
CA;D;20210524;000000;10006.8155700
CA;D;20210525;000000;9956.1090800
CA;D;20210526;000000;9974.8484350
CA;D;20210527;000000;10297.8267300
CA;D;20210528;000000;10303.3383050
CA;D;20210530;000000;10331.9984950
CA;D;20210531;000000;10320.9753450
CA;D;20210601;000000;10253.7341300
CA;D;20210602;000000;10144.6049450
CA;D;20210603;000000;9845.8775800
CA;D;20210604;000000;9952.8021350
CA;D;20210606;000000;9974.8484350
CA;D;20210607;000000;9961.6206550
CA;D;20210608;000000;10021.1456650
CA;D;20210609;000000;9967.1322300
CA;D;20210610;000000;9893.2771250
CA;D;20210611;000000;10035.4757600
CA;D;20210613;000000;10058.6243750
CA;D;20210614;000000;9980.3600100
CA;D;20210615;000000;9568.0942000
CA;D;20210616;000000;9455.6580700
CA;D;20210617;000000;9219.7626600
CA;D;20210618;000000;9084.1779150
CA;D;20210620;000000;9134.8844050
CA;D;20210621;000000;9215.3534000
CA;D;20210622;000000;9329.9941600
CA;D;20210623;000000;9519.5923400
CA;D;20210624;000000;9526.2062300
CA;D;20210625;000000;9425.8955650
CA;D;20210627;000000;9440.2256600
CA;D;20210628;000000;9421.4863050
CA;D;20210629;000000;9391.7238000
CA;D;20210630;000000;9460.0673300
CA;D;20210701;000000;9336.6080500
CA;D;20210702;000000;9432.5094550
CA;D;20210704;000000;9435.8164000
CA;D;20210705;000000;9578.0150350
CA;D;20210706;000000;9371.8821300
CA;D;20210707;000000;9514.0807650
CA;D;20210708;000000;9411.5654700
CA;D;20210709;000000;9572.5034600
CA;D;20210711;000000;9574.7080900
CA;D;20210712;000000;9538.3316950
CA;D;20210713;000000;9458.9650150
CA;D;20210714;000000;9410.4631550
CA;D;20210715;000000;9505.2622450
CA;D;20210716;000000;9493.1367800
CA;D;20210718;000000;9467.7835350
CA;D;20210719;000000;9258.3436850
CA;D;20210720;000000;9397.2353750
CA;D;20210721;000000;9438.0210300
CA;D;20210722;000000;9568.0942000
CA;D;20210723;000000;9821.6266500
CA;D;20210725;000000;9809.5011850
CA;D;20210726;000000;10111.5354950
CA;D;20210727;000000;10063.0336350
CA;D;20210728;000000;9881.1516600
CA;D;20210729;000000;9982.5646400
CA;D;20210730;000000;9869.0261950
CA;D;20210801;000000;9926.3465750
CA;D;20210802;000000;9774.2271050
CA;D;20210803;000000;9662.8932900
CA;D;20210804;000000;9558.1733650
CA;D;20210805;000000;9584.6289250
CA;D;20210806;000000;9564.7872550
CA;D;20210808;000000;9472.1927950
CA;D;20210809;000000;9466.6812200
CA;D;20210810;000000;9583.5266100
CA;D;20210811;000000;9639.7446750
CA;D;20210812;000000;9623.2099500
CA;D;20210813;000000;9612.1868000
CA;D;20210815;000000;9580.2196650
CA;D;20210816;000000;9543.8432700
CA;D;20210817;000000;9312.3571200
CA;D;20210818;000000;9074.2570800
CA;D;20210819;000000;8919.9329800
CA;D;20210820;000000;9137.0890350
CA;D;20210822;000000;9143.7029250
CA;D;20210823;000000;9320.0733250
CA;D;20210824;000000;9372.9844450
CA;D;20210825;000000;9395.0307450
CA;D;20210826;000000;9346.5288850
CA;D;20210827;000000;9522.8992850
CA;D;20210829;000000;9522.8992850
CA;D;20210830;000000;9656.2794000
CA;D;20210831;000000;9628.7215250
CA;D;20210901;000000;9440.2256600
CA;D;20210902;000000;9476.6020550
CA;D;20210903;000000;9563.6849400
CA;D;20210905;000000;9555.9687350
CA;D;20210906;000000;9546.0479000
CA;D;20210907;000000;9423.6909350
CA;D;20210908;000000;9331.0964750
CA;D;20210909;000000;9438.0210300
CA;D;20210910;000000;9764.3062700
CA;D;20210912;000000;9765.4085850
CA;D;20210913;000000;9628.7215250
CA;D;20210914;000000;9511.8761350
CA;D;20210915;000000;9721.3159850
CA;D;20210916;000000;9447.9418650
CA;D;20210917;000000;9347.6312000
CA;D;20210919;000000;9303.5386000
CA;D;20210920;000000;9109.5311600
CA;D;20210921;000000;9065.4385600
CA;D;20210922;000000;9299.1293400
CA;D;20210923;000000;9322.2779550
CA;D;20210924;000000;9440.2256600
CA;D;20210926;000000;9454.5557550
CA;D;20210927;000000;9432.5094550
CA;D;20210928;000000;9365.2682400
CA;D;20210929;000000;9207.6371950
CA;D;20210930;000000;9057.7223550
CA;D;20211001;000000;9278.1853550
CA;D;20211003;000000;9311.2548050
CA;D;20211004;000000;9334.4034200
CA;D;20211005;000000;9230.7858100
CA;D;20211006;000000;9225.2742350
CA;D;20211007;000000;9378.4960200
CA;D;20211008;000000;9432.5094550
CA;D;20211010;000000;9421.4863050
CA;D;20211011;000000;9578.0150350
CA;D;20211012;000000;9521.7969700
CA;D;20211013;000000;9921.9373150
CA;D;20211014;000000;10173.2651350
CA;D;20211015;000000;10406.9559150
CA;D;20211017;000000;10541.4383450
CA;D;20211018;000000;10382.7049850
CA;D;20211019;000000;10331.9984950
CA;D;20211020;000000;10426.7975850
CA;D;20211021;000000;10050.9081700
CA;D;20211022;000000;9925.2442600
CA;D;20211024;000000;9961.6206550
CA;D;20211025;000000;9973.7461200
CA;D;20211026;000000;9908.7095350
CA;D;20211027;000000;9684.9395900
CA;D;20211028;000000;9770.9201600
CA;D;20211029;000000;9648.5631950
CA;D;20211031;000000;9617.6983750
CA;D;20211101;000000;9678.3257000
CA;D;20211102;000000;9632.0284700
CA;D;20211103;000000;9640.8469900
CA;D;20211104;000000;9552.6617900
CA;D;20211105;000000;9569.1965150
CA;D;20211107;000000;9657.3817150
CA;D;20211108;000000;9724.6229300
CA;D;20211109;000000;9658.4840300
CA;D;20211110;000000;9504.1599300
CA;D;20211111;000000;9709.1905200
CA;D;20211112;000000;9817.2173900
CA;D;20211114;000000;9863.5146200
CA;D;20211115;000000;9719.1113550
CA;D;20211116;000000;9578.0150350
CA;D;20211117;000000;9318.9710100
CA;D;20211118;000000;9476.6020550
CA;D;20211119;000000;9699.2696850
CA;D;20211121;000000;9684.9395900
CA;D;20211122;000000;9677.2233850
CA;D;20211123;000000;9748.8738600
CA;D;20211124;000000;9855.7984150
CA;D;20211125;000000;9783.0456250
CA;D;20211126;000000;9439.1233450
CA;D;20211128;000000;9522.8992850
CA;D;20211129;000000;9617.6983750
CA;D;20211130;000000;9498.6483550
CA;D;20211201;000000;9346.5288850
CA;D;20211202;000000;9438.0210300
CA;D;20211203;000000;9417.0770450
CA;D;20211205;000000;9486.5228900
CA;D;20211206;000000;9553.7641050
CA;D;20211207;000000;9566.9918850
CA;D;20211208;000000;9657.3817150
CA;D;20211209;000000;9505.2622450
CA;D;20211210;000000;9466.6812200
CA;D;20211212;000000;9514.0807650
CA;D;20211213;000000;9457.8627000
CA;D;20211214;000000;9407.1562100
CA;D;20211215;000000;9395.0307450
CA;D;20211216;000000;9469.9881650
CA;D;20211217;000000;9455.6580700
CA;D;20211219;000000;9428.1001950
CA;D;20211220;000000;9495.3414100
CA;D;20211221;000000;9574.7080900
CA;D;20211222;000000;9670.6094950
CA;D;20211223;000000;9714.7020950
CA;D;20211226;000000;9672.8141250
CA;D;20211227;000000;9828.2405400
CA;D;20211228;000000;9790.7618300
CA;D;20211229;000000;9732.3391350
CA;D;20211230;000000;9681.6326450
CA;D;20211231;000000;9827.1382250
CA;D;20220102;000000;9831.5474850
