<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GC;D;20201122;000000;1871.7000000
GC;D;20201123;000000;1821.7000000
GC;D;20201124;000000;1801.5000000
GC;D;20201125;000000;1808.7000000
GC;D;20201126;000000;1804.6000000
GC;D;20201127;000000;1783.1000000
GC;D;20201129;000000;1772.8000000
GC;D;20201130;000000;1787.3000000
GC;D;20201201;000000;1812.3000000
GC;D;20201202;000000;1838.8000000
GC;D;20201203;000000;1844.2000000
GC;D;20201204;000000;1842.0000000
GC;D;20201206;000000;1842.6000000
GC;D;20201207;000000;1874.4000000
GC;D;20201208;000000;1864.4000000
GC;D;20201209;000000;1843.6000000
GC;D;20201210;000000;1841.4000000
GC;D;20201211;000000;1843.5000000
GC;D;20201213;000000;1839.1000000
GC;D;20201214;000000;1839.4000000
GC;D;20201215;000000;1860.3000000
GC;D;20201216;000000;1872.1000000
GC;D;20201217;000000;1889.0000000
GC;D;20201218;000000;1886.8000000
GC;D;20201220;000000;1905.4000000
GC;D;20201221;000000;1885.6000000
GC;D;20201222;000000;1871.1000000
GC;D;20201223;000000;1879.2000000
GC;D;20201224;000000;1882.6000000
GC;D;20201227;000000;1899.1000000
GC;D;20201228;000000;1881.2000000
GC;D;20201229;000000;1889.4000000
GC;D;20201230;000000;1892.7000000
GC;D;20201231;000000;1901.6000000
GC;D;20210103;000000;1926.9000000
GC;D;20210104;000000;1943.9000000
GC;D;20210105;000000;1948.1000000
GC;D;20210106;000000;1919.3000000
GC;D;20210107;000000;1909.8000000
GC;D;20210108;000000;1849.9000000
GC;D;20210110;000000;1833.0000000
GC;D;20210111;000000;1850.9000000
GC;D;20210112;000000;1859.4000000
GC;D;20210113;000000;1839.4000000
GC;D;20210114;000000;1852.6000000
GC;D;20210115;000000;1827.7000000
GC;D;20210117;000000;1827.8000000
GC;D;20210118;000000;1838.8000000
GC;D;20210119;000000;1849.1000000
GC;D;20210120;000000;1870.9000000
GC;D;20210121;000000;1863.4000000
GC;D;20210122;000000;1855.5000000
GC;D;20210124;000000;1853.7000000
GC;D;20210125;000000;1855.5000000
GC;D;20210126;000000;1845.6000000
GC;D;20210127;000000;1835.1000000
GC;D;20210128;000000;1844.4000000
GC;D;20210129;000000;1849.8000000
GC;D;20210131;000000;1862.7000000
GC;D;20210201;000000;1856.0000000
GC;D;20210202;000000;1841.4000000
GC;D;20210203;000000;1822.9000000
GC;D;20210204;000000;1795.3000000
GC;D;20210205;000000;1815.2000000
GC;D;20210207;000000;1810.7000000
GC;D;20210208;000000;1842.5000000
GC;D;20210209;000000;1844.8000000
GC;D;20210210;000000;1836.3000000
GC;D;20210211;000000;1822.5000000
GC;D;20210212;000000;1824.8000000
GC;D;20210214;000000;1822.4000000
GC;D;20210215;000000;1824.9000000
GC;D;20210216;000000;1792.1000000
GC;D;20210217;000000;1781.4000000
GC;D;20210218;000000;1766.1000000
GC;D;20210219;000000;1783.1000000
GC;D;20210221;000000;1782.8000000
GC;D;20210222;000000;1811.9000000
GC;D;20210223;000000;1808.6000000
GC;D;20210224;000000;1796.4000000
GC;D;20210225;000000;1765.8000000
GC;D;20210226;000000;1733.0000000
GC;D;20210228;000000;1747.8000000
GC;D;20210301;000000;1711.1000000
GC;D;20210302;000000;1733.5000000
GC;D;20210303;000000;1713.1000000
GC;D;20210304;000000;1689.2000000
GC;D;20210305;000000;1698.2000000
GC;D;20210307;000000;1704.8000000
GC;D;20210308;000000;1685.1000000
GC;D;20210309;000000;1711.1000000
GC;D;20210310;000000;1730.0000000
GC;D;20210311;000000;1716.8000000
GC;D;20210312;000000;1725.8000000
GC;D;20210314;000000;1725.6000000
GC;D;20210315;000000;1732.0000000
GC;D;20210316;000000;1734.7000000
GC;D;20210317;000000;1747.4000000
GC;D;20210318;000000;1730.6000000
GC;D;20210319;000000;1743.9000000
GC;D;20210321;000000;1739.2000000
GC;D;20210322;000000;1734.7000000
GC;D;20210323;000000;1730.6000000
GC;D;20210324;000000;1734.4000000
GC;D;20210325;000000;1723.2000000
GC;D;20210326;000000;1731.6000000
GC;D;20210328;000000;1727.8000000
GC;D;20210329;000000;1705.2000000
GC;D;20210330;000000;1679.6000000
GC;D;20210331;000000;1713.6000000
GC;D;20210401;000000;1730.3000000
GC;D;20210402;000000;1728.4000000
GC;D;20210404;000000;1725.7000000
GC;D;20210405;000000;1734.3000000
GC;D;20210406;000000;1739.0000000
GC;D;20210407;000000;1739.1000000
GC;D;20210408;000000;1753.6000000
GC;D;20210409;000000;1744.1000000
GC;D;20210411;000000;1739.0000000
GC;D;20210412;000000;1731.8000000
GC;D;20210413;000000;1744.3000000
GC;D;20210414;000000;1738.7000000
