<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
IMOEX;D;20201123;000000;3047.0600000
IMOEX;D;20201124;000000;3095.8400000
IMOEX;D;20201125;000000;3134.5200000
IMOEX;D;20201126;000000;3138.6200000
IMOEX;D;20201127;000000;3142.6800000
IMOEX;D;20201130;000000;3107.5800000
IMOEX;D;20201201;000000;3147.7900000
IMOEX;D;20201202;000000;3189.6100000
IMOEX;D;20201203;000000;3162.6700000
IMOEX;D;20201204;000000;3184.7200000
IMOEX;D;20201207;000000;3195.0800000
IMOEX;D;20201208;000000;3179.6100000
IMOEX;D;20201209;000000;3211.6600000
IMOEX;D;20201210;000000;3258.3100000
IMOEX;D;20201211;000000;3276.5800000
IMOEX;D;20201214;000000;3254.8300000
IMOEX;D;20201215;000000;3248.1100000
IMOEX;D;20201216;000000;3269.9500000
IMOEX;D;20201217;000000;3282.6700000
IMOEX;D;20201218;000000;3273.7500000
IMOEX;D;20201221;000000;3186.3800000
IMOEX;D;20201222;000000;3236.4600000
IMOEX;D;20201223;000000;3252.1000000
IMOEX;D;20201224;000000;3236.8800000
IMOEX;D;20201225;000000;3246.3500000
IMOEX;D;20201228;000000;3258.9500000
IMOEX;D;20201229;000000;3274.6700000
IMOEX;D;20201230;000000;3289.0200000
IMOEX;D;20210104;000000;3350.5100000
IMOEX;D;20210105;000000;3359.1500000
IMOEX;D;20210106;000000;3371.0300000
IMOEX;D;20210108;000000;3454.8200000
IMOEX;D;20210111;000000;3482.4800000
IMOEX;D;20210112;000000;3471.6500000
IMOEX;D;20210113;000000;3470.2600000
IMOEX;D;20210114;000000;3490.8500000
IMOEX;D;20210115;000000;3450.9500000
IMOEX;D;20210118;000000;3471.9200000
IMOEX;D;20210119;000000;3443.2300000
IMOEX;D;20210120;000000;3466.8000000
IMOEX;D;20210121;000000;3422.6700000
IMOEX;D;20210122;000000;3382.9200000
IMOEX;D;20210125;000000;3397.4800000
IMOEX;D;20210126;000000;3390.7600000
IMOEX;D;20210127;000000;3343.6200000
IMOEX;D;20210128;000000;3342.0100000
IMOEX;D;20210129;000000;3277.0800000
IMOEX;D;20210201;000000;3291.1400000
IMOEX;D;20210202;000000;3360.2500000
IMOEX;D;20210203;000000;3343.4600000
IMOEX;D;20210204;000000;3372.0000000
IMOEX;D;20210205;000000;3392.7300000
IMOEX;D;20210208;000000;3445.9000000
IMOEX;D;20210209;000000;3426.8600000
IMOEX;D;20210210;000000;3399.6600000
IMOEX;D;20210211;000000;3414.3200000
IMOEX;D;20210212;000000;3427.0800000
IMOEX;D;20210215;000000;3481.9000000
IMOEX;D;20210216;000000;3495.2600000
IMOEX;D;20210217;000000;3436.8000000
IMOEX;D;20210218;000000;3400.1700000
IMOEX;D;20210219;000000;3457.6800000
IMOEX;D;20210220;000000;3446.3200000
IMOEX;D;20210222;000000;3433.9300000
IMOEX;D;20210224;000000;3385.4800000
IMOEX;D;20210225;000000;3409.7600000
IMOEX;D;20210226;000000;3346.6400000
IMOEX;D;20210301;000000;3386.1600000
IMOEX;D;20210302;000000;3410.1000000
IMOEX;D;20210303;000000;3416.0400000
