<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
LKOH;D;20201123;000000;5026.5000000
LKOH;D;20201124;000000;5179.5000000
LKOH;D;20201125;000000;5392.5000000
LKOH;D;20201126;000000;5243.0000000
LKOH;D;20201127;000000;5260.0000000
LKOH;D;20201130;000000;5063.0000000
LKOH;D;20201201;000000;5058.5000000
LKOH;D;20201202;000000;5167.0000000
LKOH;D;20201203;000000;5053.0000000
LKOH;D;20201204;000000;5122.0000000
LKOH;D;20201207;000000;5039.5000000
LKOH;D;20201208;000000;4994.0000000
LKOH;D;20201209;000000;5023.0000000
LKOH;D;20201210;000000;5287.0000000
LKOH;D;20201211;000000;5380.0000000
LKOH;D;20201214;000000;5325.0000000
LKOH;D;20201215;000000;5297.5000000
LKOH;D;20201216;000000;5174.0000000
LKOH;D;20201217;000000;5188.0000000
LKOH;D;20201218;000000;5140.0000000
LKOH;D;20201221;000000;5095.5000000
LKOH;D;20201222;000000;5073.0000000
LKOH;D;20201223;000000;5107.0000000
LKOH;D;20201224;000000;5105.5000000
LKOH;D;20201225;000000;5106.0000000
LKOH;D;20201228;000000;5101.5000000
LKOH;D;20201229;000000;5143.0000000
LKOH;D;20201230;000000;5169.5000000
LKOH;D;20210104;000000;5212.5000000
LKOH;D;20210105;000000;5358.5000000
LKOH;D;20210106;000000;5376.5000000
LKOH;D;20210108;000000;5556.5000000
LKOH;D;20210111;000000;5599.0000000
LKOH;D;20210112;000000;5721.0000000
LKOH;D;20210113;000000;5755.0000000
LKOH;D;20210114;000000;5937.0000000
LKOH;D;20210115;000000;5888.5000000
LKOH;D;20210118;000000;5873.0000000
LKOH;D;20210119;000000;5892.0000000
LKOH;D;20210120;000000;5864.0000000
LKOH;D;20210121;000000;5771.0000000
LKOH;D;20210122;000000;5740.5000000
LKOH;D;20210125;000000;5722.0000000
LKOH;D;20210126;000000;5595.5000000
LKOH;D;20210127;000000;5499.5000000
LKOH;D;20210128;000000;5575.0000000
LKOH;D;20210129;000000;5377.0000000
LKOH;D;20210201;000000;5406.0000000
LKOH;D;20210202;000000;5516.0000000
LKOH;D;20210203;000000;5555.0000000
LKOH;D;20210204;000000;5699.5000000
LKOH;D;20210205;000000;5715.0000000
LKOH;D;20210208;000000;5758.0000000
LKOH;D;20210209;000000;5695.0000000
LKOH;D;20210210;000000;5594.5000000
LKOH;D;20210211;000000;5641.5000000
LKOH;D;20210212;000000;5756.0000000
LKOH;D;20210215;000000;5909.5000000
LKOH;D;20210216;000000;5868.5000000
LKOH;D;20210217;000000;5768.5000000
LKOH;D;20210218;000000;5615.0000000
LKOH;D;20210219;000000;5656.0000000
LKOH;D;20210220;000000;5633.0000000
LKOH;D;20210222;000000;5786.0000000
LKOH;D;20210224;000000;5788.5000000
LKOH;D;20210225;000000;5740.5000000
LKOH;D;20210226;000000;5575.5000000
LKOH;D;20210301;000000;5634.0000000
LKOH;D;20210302;000000;5648.5000000
LKOH;D;20210303;000000;5701.0000000
LKOH;D;20210304;000000;5806.0000000
LKOH;D;20210305;000000;6236.0000000
LKOH;D;20210309;000000;6305.0000000
LKOH;D;20210310;000000;6127.5000000
LKOH;D;20210311;000000;6339.0000000
LKOH;D;20210312;000000;6356.0000000
LKOH;D;20210315;000000;6472.5000000
LKOH;D;20210316;000000;6445.0000000
LKOH;D;20210317;000000;6363.0000000
LKOH;D;20210318;000000;6083.0000000
LKOH;D;20210319;000000;6078.0000000
LKOH;D;20210322;000000;6118.0000000
LKOH;D;20210323;000000;5961.0000000
LKOH;D;20210324;000000;6162.5000000
LKOH;D;20210325;000000;6182.0000000
LKOH;D;20210326;000000;6283.0000000
LKOH;D;20210329;000000;6257.5000000
LKOH;D;20210330;000000;6155.0000000
LKOH;D;20210331;000000;6111.5000000
LKOH;D;20210401;000000;6112.0000000
LKOH;D;20210402;000000;6108.5000000
LKOH;D;20210405;000000;5990.5000000
LKOH;D;20210406;000000;5891.0000000
LKOH;D;20210407;000000;5978.0000000
LKOH;D;20210408;000000;6008.5000000
LKOH;D;20210409;000000;5933.0000000
LKOH;D;20210412;000000;6020.0000000
LKOH;D;20210413;000000;6044.5000000
LKOH;D;20210414;000000;6134.0000000
LKOH;D;20210415;000000;6054.5000000
LKOH;D;20210416;000000;6066.0000000
LKOH;D;20210419;000000;6007.0000000
LKOH;D;20210420;000000;5897.0000000
LKOH;D;20210421;000000;5946.0000000
LKOH;D;20210422;000000;5999.0000000
LKOH;D;20210423;000000;5950.0000000
LKOH;D;20210426;000000;5919.0000000
LKOH;D;20210427;000000;5903.5000000
LKOH;D;20210428;000000;5901.0000000
LKOH;D;20210429;000000;5926.0000000
LKOH;D;20210430;000000;5805.0000000
LKOH;D;20210504;000000;5991.0000000
LKOH;D;20210505;000000;6122.0000000
LKOH;D;20210506;000000;6087.0000000
LKOH;D;20210507;000000;6088.0000000
LKOH;D;20210510;000000;6118.0000000
LKOH;D;20210511;000000;6021.0000000
LKOH;D;20210512;000000;6119.0000000
LKOH;D;20210513;000000;6040.0000000
LKOH;D;20210514;000000;6050.0000000
LKOH;D;20210517;000000;5976.0000000
LKOH;D;20210518;000000;5994.0000000
LKOH;D;20210519;000000;5862.5000000
LKOH;D;20210520;000000;5711.0000000
LKOH;D;20210521;000000;5800.5000000
LKOH;D;20210524;000000;5818.0000000
LKOH;D;20210525;000000;5913.0000000
LKOH;D;20210526;000000;6016.5000000
LKOH;D;20210527;000000;5992.0000000
LKOH;D;20210528;000000;5955.0000000
LKOH;D;20210531;000000;5993.0000000
LKOH;D;20210601;000000;6210.0000000
LKOH;D;20210602;000000;6428.0000000
LKOH;D;20210603;000000;6474.5000000
LKOH;D;20210604;000000;6511.0000000
LKOH;D;20210607;000000;6555.0000000
LKOH;D;20210608;000000;6504.5000000
LKOH;D;20210609;000000;6587.0000000
LKOH;D;20210610;000000;6570.0000000
LKOH;D;20210611;000000;6518.5000000
LKOH;D;20210614;000000;6515.0000000
LKOH;D;20210615;000000;6504.5000000
LKOH;D;20210616;000000;6591.5000000
LKOH;D;20210617;000000;6669.5000000
LKOH;D;20210618;000000;6653.0000000
LKOH;D;20210621;000000;6697.0000000
LKOH;D;20210622;000000;6715.5000000
LKOH;D;20210623;000000;6633.0000000
LKOH;D;20210624;000000;6725.0000000
LKOH;D;20210625;000000;6810.0000000
LKOH;D;20210628;000000;6759.0000000
LKOH;D;20210629;000000;6685.0000000
LKOH;D;20210630;000000;6762.5000000
LKOH;D;20210701;000000;7010.0000000
LKOH;D;20210702;000000;6849.0000000
LKOH;D;20210705;000000;6845.0000000
LKOH;D;20210706;000000;6829.0000000
LKOH;D;20210707;000000;6782.0000000
LKOH;D;20210708;000000;6684.0000000
LKOH;D;20210709;000000;6655.0000000
LKOH;D;20210712;000000;6611.0000000
LKOH;D;20210713;000000;6637.0000000
LKOH;D;20210714;000000;6566.0000000
LKOH;D;20210715;000000;6430.5000000
LKOH;D;20210716;000000;6362.0000000
LKOH;D;20210719;000000;6228.0000000
LKOH;D;20210720;000000;6307.5000000
LKOH;D;20210721;000000;6393.0000000
LKOH;D;20210722;000000;6456.0000000
LKOH;D;20210723;000000;6433.5000000
LKOH;D;20210726;000000;6405.0000000
LKOH;D;20210727;000000;6332.5000000
LKOH;D;20210728;000000;6415.0000000
LKOH;D;20210729;000000;6416.0000000
LKOH;D;20210730;000000;6299.0000000
LKOH;D;20210802;000000;6308.0000000
LKOH;D;20210803;000000;6297.0000000
LKOH;D;20210804;000000;6235.0000000
LKOH;D;20210805;000000;6312.0000000
LKOH;D;20210806;000000;6236.0000000
LKOH;D;20210809;000000;6290.0000000
LKOH;D;20210810;000000;6423.5000000
LKOH;D;20210811;000000;6450.0000000
LKOH;D;20210812;000000;6504.5000000
LKOH;D;20210813;000000;6429.5000000
LKOH;D;20210816;000000;6495.5000000
LKOH;D;20210817;000000;6567.5000000
LKOH;D;20210818;000000;6445.0000000
LKOH;D;20210819;000000;6332.0000000
LKOH;D;20210820;000000;6339.5000000
LKOH;D;20210823;000000;6475.5000000
LKOH;D;20210824;000000;6488.0000000
LKOH;D;20210825;000000;6431.0000000
LKOH;D;20210826;000000;6343.5000000
LKOH;D;20210827;000000;6429.5000000
LKOH;D;20210830;000000;6439.0000000
LKOH;D;20210831;000000;6283.5000000
LKOH;D;20210901;000000;6334.0000000
LKOH;D;20210902;000000;6350.5000000
LKOH;D;20210903;000000;6330.0000000
LKOH;D;20210906;000000;6325.0000000
LKOH;D;20210907;000000;6280.0000000
LKOH;D;20210908;000000;6341.5000000
LKOH;D;20210909;000000;6269.5000000
LKOH;D;20210910;000000;6300.0000000
LKOH;D;20210913;000000;6420.5000000
LKOH;D;20210914;000000;6570.0000000
LKOH;D;20210915;000000;6724.5000000
LKOH;D;20210916;000000;6664.0000000
LKOH;D;20210917;000000;6600.5000000
LKOH;D;20210920;000000;6551.0000000
LKOH;D;20210921;000000;6605.0000000
LKOH;D;20210922;000000;6702.0000000
LKOH;D;20210923;000000;6801.0000000
LKOH;D;20210924;000000;6825.0000000
LKOH;D;20210927;000000;6986.0000000
LKOH;D;20210928;000000;6968.0000000
LKOH;D;20210929;000000;6992.0000000
LKOH;D;20210930;000000;6903.5000000
LKOH;D;20211001;000000;6987.5000000
LKOH;D;20211004;000000;7134.5000000
LKOH;D;20211005;000000;7346.5000000
LKOH;D;20211006;000000;7096.0000000
LKOH;D;20211007;000000;7165.0000000
LKOH;D;20211008;000000;7220.0000000
LKOH;D;20211011;000000;7264.0000000
LKOH;D;20211012;000000;7306.0000000
LKOH;D;20211013;000000;7252.0000000
LKOH;D;20211014;000000;7215.0000000
LKOH;D;20211015;000000;7306.5000000
LKOH;D;20211018;000000;7319.0000000
LKOH;D;20211019;000000;7373.0000000
LKOH;D;20211020;000000;7439.0000000
LKOH;D;20211021;000000;7232.0000000
LKOH;D;20211022;000000;7200.0000000
LKOH;D;20211025;000000;7441.5000000
LKOH;D;20211026;000000;7440.5000000
LKOH;D;20211027;000000;7323.5000000
LKOH;D;20211028;000000;7288.5000000
LKOH;D;20211029;000000;7272.5000000
LKOH;D;20211101;000000;7293.0000000
LKOH;D;20211102;000000;7214.0000000
LKOH;D;20211103;000000;7175.0000000
LKOH;D;20211105;000000;7199.0000000
LKOH;D;20211108;000000;7208.5000000
LKOH;D;20211109;000000;7188.0000000
LKOH;D;20211110;000000;7137.5000000
LKOH;D;20211111;000000;7094.5000000
LKOH;D;20211112;000000;6878.0000000
LKOH;D;20211115;000000;6918.5000000
LKOH;D;20211116;000000;6946.5000000
LKOH;D;20211117;000000;6884.5000000
LKOH;D;20211118;000000;6840.0000000
LKOH;D;20211119;000000;6709.0000000
LKOH;D;20211122;000000;6575.5000000
LKOH;D;20211123;000000;6829.5000000
LKOH;D;20211124;000000;6814.5000000
LKOH;D;20211125;000000;6661.5000000
LKOH;D;20211126;000000;6374.0000000
LKOH;D;20211129;000000;6616.0000000
LKOH;D;20211130;000000;6513.0000000
LKOH;D;20211201;000000;6576.5000000
LKOH;D;20211202;000000;6732.0000000
LKOH;D;20211203;000000;6639.5000000
LKOH;D;20211206;000000;6650.0000000
LKOH;D;20211207;000000;6720.5000000
LKOH;D;20211208;000000;6574.5000000
LKOH;D;20211209;000000;6619.0000000
LKOH;D;20211210;000000;6619.5000000
LKOH;D;20211213;000000;6376.0000000
LKOH;D;20211214;000000;6592.0000000
LKOH;D;20211215;000000;6595.0000000
LKOH;D;20211216;000000;6729.0000000
LKOH;D;20211217;000000;6670.0000000
LKOH;D;20211220;000000;6328.5000000
LKOH;D;20211221;000000;6348.5000000
LKOH;D;20211222;000000;6349.5000000
LKOH;D;20211223;000000;6304.5000000
LKOH;D;20211224;000000;6313.5000000
LKOH;D;20211227;000000;6397.5000000
LKOH;D;20211228;000000;6478.0000000
LKOH;D;20211229;000000;6516.0000000
LKOH;D;20211230;000000;6573.0000000
LKOH;D;20220103;000000;6683.0000000
LKOH;D;20220104;000000;6728.0000000
LKOH;D;20220105;000000;6522.0000000
LKOH;D;20220106;000000;6699.0000000
LKOH;D;20220110;000000;6775.0000000
LKOH;D;20220111;000000;6816.0000000
LKOH;D;20220112;000000;6960.0000000
LKOH;D;20220113;000000;6665.0000000
LKOH;D;20220114;000000;6659.0000000
LKOH;D;20220117;000000;6516.0000000
LKOH;D;20220118;000000;6250.0000000
LKOH;D;20220119;000000;6494.0000000
LKOH;D;20220120;000000;6430.0000000
LKOH;D;20220121;000000;6420.0000000
LKOH;D;20220124;000000;6293.0000000
LKOH;D;20220125;000000;6543.0000000
LKOH;D;20220126;000000;6525.5000000
LKOH;D;20220127;000000;6811.5000000
LKOH;D;20220128;000000;6775.0000000
LKOH;D;20220131;000000;6878.0000000
LKOH;D;20220201;000000;6976.0000000
LKOH;D;20220202;000000;7040.0000000
LKOH;D;20220203;000000;6865.5000000
LKOH;D;20220204;000000;7010.0000000
LKOH;D;20220207;000000;6988.0000000
LKOH;D;20220208;000000;6957.5000000
LKOH;D;20220209;000000;6973.5000000
LKOH;D;20220210;000000;6984.5000000
LKOH;D;20220211;000000;6707.5000000
LKOH;D;20220214;000000;6796.0000000
LKOH;D;20220215;000000;6979.0000000
LKOH;D;20220216;000000;6970.0000000
LKOH;D;20220217;000000;6733.0000000
LKOH;D;20220218;000000;6456.5000000
LKOH;D;20220221;000000;5810.0000000
LKOH;D;20220222;000000;6020.0000000
LKOH;D;20220224;000000;4650.0000000
LKOH;D;20220225;000000;4915.0000000
LKOH;D;20220324;000000;5525.0000000
LKOH;D;20220325;000000;5206.0000000
LKOH;D;20220328;000000;5118.0000000
LKOH;D;20220329;000000;4922.0000000
LKOH;D;20220330;000000;5140.0000000
LKOH;D;20220331;000000;5680.0000000
LKOH;D;20220401;000000;5601.0000000
LKOH;D;20220404;000000;5557.0000000
LKOH;D;20220405;000000;5314.0000000
LKOH;D;20220406;000000;5266.0000000
LKOH;D;20220407;000000;5280.0000000
LKOH;D;20220408;000000;5226.5000000
LKOH;D;20220411;000000;5190.0000000
LKOH;D;20220412;000000;5145.0000000
LKOH;D;20220413;000000;5106.0000000
LKOH;D;20220414;000000;4879.5000000
LKOH;D;20220415;000000;4893.0000000
LKOH;D;20220418;000000;4549.0000000
LKOH;D;20220419;000000;4485.0000000
LKOH;D;20220420;000000;4310.0000000
LKOH;D;20220421;000000;3974.0000000
LKOH;D;20220422;000000;3828.0000000
LKOH;D;20220425;000000;3931.0000000
