<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GMKN;D;20201123;000000;21028.0000000
GMKN;D;20201124;000000;21578.0000000
GMKN;D;20201125;000000;21460.0000000
GMKN;D;20201126;000000;21570.0000000
GMKN;D;20201127;000000;21720.0000000
GMKN;D;20201130;000000;21476.0000000
GMKN;D;20201201;000000;21908.0000000
GMKN;D;20201202;000000;22906.0000000
GMKN;D;20201203;000000;23136.0000000
GMKN;D;20201204;000000;23188.0000000
GMKN;D;20201207;000000;23084.0000000
GMKN;D;20201208;000000;22842.0000000
GMKN;D;20201209;000000;23170.0000000
GMKN;D;20201210;000000;24048.0000000
GMKN;D;20201211;000000;24056.0000000
GMKN;D;20201214;000000;23944.0000000
GMKN;D;20201215;000000;23692.0000000
GMKN;D;20201216;000000;23378.0000000
GMKN;D;20201217;000000;23472.0000000
GMKN;D;20201218;000000;23438.0000000
GMKN;D;20201221;000000;23400.0000000
GMKN;D;20201222;000000;23760.0000000
GMKN;D;20201223;000000;23386.0000000
GMKN;D;20201224;000000;23220.0000000
GMKN;D;20201225;000000;23340.0000000
GMKN;D;20201228;000000;23620.0000000
GMKN;D;20201229;000000;23528.0000000
GMKN;D;20201230;000000;23682.0000000
GMKN;D;20210104;000000;24314.0000000
GMKN;D;20210105;000000;24676.0000000
GMKN;D;20210106;000000;25024.0000000
GMKN;D;20210108;000000;26544.0000000
GMKN;D;20210111;000000;26290.0000000
GMKN;D;20210112;000000;25934.0000000
GMKN;D;20210113;000000;25976.0000000
GMKN;D;20210114;000000;26432.0000000
GMKN;D;20210115;000000;25796.0000000
GMKN;D;20210118;000000;25874.0000000
GMKN;D;20210119;000000;25826.0000000
GMKN;D;20210120;000000;26550.0000000
GMKN;D;20210121;000000;26538.0000000
GMKN;D;20210122;000000;26172.0000000
GMKN;D;20210125;000000;25982.0000000
GMKN;D;20210126;000000;25768.0000000
GMKN;D;20210127;000000;24996.0000000
GMKN;D;20210128;000000;25230.0000000
GMKN;D;20210129;000000;24364.0000000
GMKN;D;20210201;000000;24866.0000000
GMKN;D;20210202;000000;24770.0000000
GMKN;D;20210203;000000;25312.0000000
GMKN;D;20210204;000000;25766.0000000
GMKN;D;20210205;000000;25478.0000000
GMKN;D;20210208;000000;25804.0000000
GMKN;D;20210209;000000;25458.0000000
GMKN;D;20210210;000000;25342.0000000
GMKN;D;20210211;000000;25432.0000000
GMKN;D;20210212;000000;25390.0000000
GMKN;D;20210215;000000;26328.0000000
GMKN;D;20210216;000000;26208.0000000
GMKN;D;20210217;000000;26488.0000000
GMKN;D;20210218;000000;26702.0000000
GMKN;D;20210219;000000;28130.0000000
GMKN;D;20210220;000000;27088.0000000
GMKN;D;20210222;000000;26156.0000000
GMKN;D;20210224;000000;24846.0000000
GMKN;D;20210225;000000;23204.0000000
GMKN;D;20210226;000000;23502.0000000
GMKN;D;20210301;000000;24268.0000000
GMKN;D;20210302;000000;23774.0000000
GMKN;D;20210303;000000;23304.0000000
GMKN;D;20210304;000000;22172.0000000
GMKN;D;20210305;000000;22348.0000000
GMKN;D;20210309;000000;22954.0000000
GMKN;D;20210310;000000;23164.0000000
GMKN;D;20210311;000000;23396.0000000
GMKN;D;20210312;000000;23746.0000000
GMKN;D;20210315;000000;24114.0000000
GMKN;D;20210316;000000;22846.0000000
GMKN;D;20210317;000000;22878.0000000
GMKN;D;20210318;000000;22596.0000000
GMKN;D;20210319;000000;22686.0000000
GMKN;D;20210322;000000;22766.0000000
GMKN;D;20210323;000000;22238.0000000
GMKN;D;20210324;000000;21326.0000000
GMKN;D;20210325;000000;21252.0000000
GMKN;D;20210326;000000;22206.0000000
GMKN;D;20210329;000000;23116.0000000
GMKN;D;20210330;000000;23172.0000000
GMKN;D;20210331;000000;23704.0000000
GMKN;D;20210401;000000;23776.0000000
GMKN;D;20210402;000000;23860.0000000
GMKN;D;20210405;000000;23736.0000000
GMKN;D;20210406;000000;23180.0000000
GMKN;D;20210407;000000;23602.0000000
GMKN;D;20210408;000000;23924.0000000
GMKN;D;20210409;000000;24410.0000000
GMKN;D;20210412;000000;25432.0000000
GMKN;D;20210413;000000;25384.0000000
GMKN;D;20210414;000000;24886.0000000
GMKN;D;20210415;000000;25112.0000000
GMKN;D;20210416;000000;25480.0000000
GMKN;D;20210419;000000;25240.0000000
GMKN;D;20210420;000000;25202.0000000
GMKN;D;20210421;000000;25308.0000000
GMKN;D;20210422;000000;25690.0000000
GMKN;D;20210423;000000;25770.0000000
GMKN;D;20210426;000000;26444.0000000
GMKN;D;20210427;000000;26952.0000000
GMKN;D;20210428;000000;26326.0000000
GMKN;D;20210429;000000;26334.0000000
GMKN;D;20210430;000000;25732.0000000
GMKN;D;20210504;000000;26202.0000000
GMKN;D;20210505;000000;26646.0000000
GMKN;D;20210506;000000;26824.0000000
GMKN;D;20210507;000000;27000.0000000
GMKN;D;20210510;000000;27046.0000000
GMKN;D;20210511;000000;27338.0000000
GMKN;D;20210512;000000;27266.0000000
GMKN;D;20210513;000000;27388.0000000
GMKN;D;20210514;000000;27390.0000000
GMKN;D;20210517;000000;27352.0000000
GMKN;D;20210518;000000;27352.0000000
GMKN;D;20210519;000000;27110.0000000
GMKN;D;20210520;000000;27156.0000000
GMKN;D;20210521;000000;27064.0000000
GMKN;D;20210524;000000;26982.0000000
GMKN;D;20210525;000000;26730.0000000
GMKN;D;20210526;000000;26986.0000000
GMKN;D;20210527;000000;26994.0000000
GMKN;D;20210528;000000;27134.0000000
GMKN;D;20210531;000000;26404.0000000
GMKN;D;20210601;000000;26750.0000000
GMKN;D;20210602;000000;26944.0000000
GMKN;D;20210603;000000;26630.0000000
GMKN;D;20210604;000000;26400.0000000
GMKN;D;20210607;000000;26246.0000000
GMKN;D;20210608;000000;26072.0000000
GMKN;D;20210609;000000;26502.0000000
GMKN;D;20210610;000000;26192.0000000
GMKN;D;20210611;000000;26178.0000000
GMKN;D;20210614;000000;26314.0000000
GMKN;D;20210615;000000;26054.0000000
GMKN;D;20210616;000000;25664.0000000
GMKN;D;20210617;000000;24970.0000000
GMKN;D;20210618;000000;25000.0000000
GMKN;D;20210621;000000;25372.0000000
GMKN;D;20210622;000000;25078.0000000
GMKN;D;20210623;000000;25336.0000000
GMKN;D;20210624;000000;24358.0000000
GMKN;D;20210625;000000;24734.0000000
GMKN;D;20210628;000000;24948.0000000
GMKN;D;20210629;000000;24702.0000000
GMKN;D;20210630;000000;24812.0000000
GMKN;D;20210701;000000;24612.0000000
GMKN;D;20210702;000000;25014.0000000
GMKN;D;20210705;000000;24924.0000000
GMKN;D;20210706;000000;24462.0000000
GMKN;D;20210707;000000;24658.0000000
GMKN;D;20210708;000000;24514.0000000
GMKN;D;20210709;000000;24780.0000000
GMKN;D;20210712;000000;25112.0000000
GMKN;D;20210713;000000;25662.0000000
GMKN;D;20210714;000000;25734.0000000
GMKN;D;20210715;000000;25624.0000000
GMKN;D;20210716;000000;25248.0000000
GMKN;D;20210719;000000;25046.0000000
GMKN;D;20210720;000000;25138.0000000
GMKN;D;20210721;000000;25050.0000000
GMKN;D;20210722;000000;25080.0000000
GMKN;D;20210723;000000;24990.0000000
GMKN;D;20210726;000000;25180.0000000
GMKN;D;20210727;000000;25432.0000000
GMKN;D;20210728;000000;25690.0000000
GMKN;D;20210729;000000;25178.0000000
GMKN;D;20210730;000000;25318.0000000
GMKN;D;20210802;000000;25290.0000000
GMKN;D;20210803;000000;25582.0000000
GMKN;D;20210804;000000;25446.0000000
GMKN;D;20210805;000000;25496.0000000
GMKN;D;20210806;000000;25102.0000000
GMKN;D;20210809;000000;24870.0000000
GMKN;D;20210810;000000;24650.0000000
GMKN;D;20210811;000000;24528.0000000
GMKN;D;20210812;000000;24700.0000000
GMKN;D;20210813;000000;24460.0000000
GMKN;D;20210816;000000;24426.0000000
GMKN;D;20210817;000000;24572.0000000
GMKN;D;20210818;000000;24146.0000000
GMKN;D;20210819;000000;23736.0000000
GMKN;D;20210820;000000;23550.0000000
GMKN;D;20210823;000000;23858.0000000
GMKN;D;20210824;000000;24066.0000000
GMKN;D;20210825;000000;23932.0000000
GMKN;D;20210826;000000;23712.0000000
GMKN;D;20210827;000000;23986.0000000
GMKN;D;20210830;000000;24266.0000000
GMKN;D;20210831;000000;24032.0000000
GMKN;D;20210901;000000;24228.0000000
GMKN;D;20210902;000000;23880.0000000
GMKN;D;20210903;000000;24442.0000000
GMKN;D;20210906;000000;24658.0000000
GMKN;D;20210907;000000;24376.0000000
GMKN;D;20210908;000000;24260.0000000
GMKN;D;20210909;000000;23980.0000000
GMKN;D;20210910;000000;24508.0000000
GMKN;D;20210913;000000;24492.0000000
GMKN;D;20210914;000000;24044.0000000
GMKN;D;20210915;000000;23978.0000000
GMKN;D;20210916;000000;23484.0000000
GMKN;D;20210917;000000;23256.0000000
GMKN;D;20210920;000000;22510.0000000
GMKN;D;20210921;000000;22662.0000000
GMKN;D;20210922;000000;23150.0000000
GMKN;D;20210923;000000;23096.0000000
GMKN;D;20210924;000000;22856.0000000
GMKN;D;20210927;000000;22712.0000000
GMKN;D;20210928;000000;22324.0000000
GMKN;D;20210929;000000;22218.0000000
GMKN;D;20210930;000000;21830.0000000
GMKN;D;20211001;000000;22122.0000000
GMKN;D;20211004;000000;21636.0000000
GMKN;D;20211005;000000;21818.0000000
GMKN;D;20211006;000000;21524.0000000
GMKN;D;20211007;000000;22272.0000000
GMKN;D;20211008;000000;22766.0000000
GMKN;D;20211011;000000;22644.0000000
GMKN;D;20211012;000000;22528.0000000
GMKN;D;20211013;000000;22718.0000000
GMKN;D;20211014;000000;22928.0000000
GMKN;D;20211015;000000;23108.0000000
GMKN;D;20211018;000000;23120.0000000
GMKN;D;20211019;000000;23672.0000000
GMKN;D;20211020;000000;23530.0000000
GMKN;D;20211021;000000;23210.0000000
GMKN;D;20211022;000000;22864.0000000
GMKN;D;20211025;000000;23024.0000000
GMKN;D;20211026;000000;22688.0000000
GMKN;D;20211027;000000;22250.0000000
GMKN;D;20211028;000000;22362.0000000
GMKN;D;20211029;000000;22170.0000000
GMKN;D;20211101;000000;22396.0000000
GMKN;D;20211102;000000;22134.0000000
GMKN;D;20211103;000000;22038.0000000
GMKN;D;20211105;000000;21664.0000000
GMKN;D;20211108;000000;21872.0000000
GMKN;D;20211109;000000;22188.0000000
GMKN;D;20211110;000000;21694.0000000
GMKN;D;20211111;000000;22050.0000000
GMKN;D;20211112;000000;22100.0000000
GMKN;D;20211115;000000;22358.0000000
GMKN;D;20211116;000000;22626.0000000
GMKN;D;20211117;000000;22532.0000000
GMKN;D;20211118;000000;22292.0000000
GMKN;D;20211119;000000;22144.0000000
GMKN;D;20211122;000000;21850.0000000
GMKN;D;20211123;000000;22400.0000000
GMKN;D;20211124;000000;22182.0000000
GMKN;D;20211125;000000;22128.0000000
GMKN;D;20211126;000000;21560.0000000
GMKN;D;20211129;000000;21686.0000000
GMKN;D;20211130;000000;21538.0000000
GMKN;D;20211201;000000;21952.0000000
GMKN;D;20211202;000000;22110.0000000
GMKN;D;20211203;000000;21826.0000000
GMKN;D;20211206;000000;21886.0000000
GMKN;D;20211207;000000;21920.0000000
GMKN;D;20211208;000000;21888.0000000
GMKN;D;20211209;000000;22006.0000000
GMKN;D;20211210;000000;21888.0000000
GMKN;D;20211213;000000;20850.0000000
GMKN;D;20211214;000000;20958.0000000
GMKN;D;20211215;000000;21296.0000000
GMKN;D;20211216;000000;21310.0000000
GMKN;D;20211217;000000;21738.0000000
GMKN;D;20211220;000000;21644.0000000
GMKN;D;20211221;000000;21662.0000000
GMKN;D;20211222;000000;21834.0000000
GMKN;D;20211223;000000;21872.0000000
GMKN;D;20211224;000000;21824.0000000
GMKN;D;20211227;000000;22528.0000000
GMKN;D;20211228;000000;22642.0000000
GMKN;D;20211229;000000;22628.0000000
GMKN;D;20211230;000000;22900.0000000
