<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;20201123;000000;239.7000000
SBER;D;20201124;000000;247.3300000
SBER;D;20201125;000000;251.9100000
SBER;D;20201126;000000;250.1000000
SBER;D;20201127;000000;251.5900000
SBER;D;20201130;000000;249.6300000
SBER;D;20201201;000000;260.8100000
SBER;D;20201202;000000;264.0600000
SBER;D;20201203;000000;263.1400000
SBER;D;20201204;000000;270.0000000
SBER;D;20201207;000000;274.3600000
SBER;D;20201208;000000;275.4900000
SBER;D;20201209;000000;276.8900000
SBER;D;20201210;000000;282.2000000
SBER;D;20201211;000000;283.7300000
SBER;D;20201214;000000;279.9500000
SBER;D;20201215;000000;278.7000000
SBER;D;20201216;000000;278.3500000
SBER;D;20201217;000000;278.5000000
SBER;D;20201218;000000;270.1600000
SBER;D;20201221;000000;261.7900000
SBER;D;20201222;000000;262.0400000
SBER;D;20201223;000000;270.1000000
SBER;D;20201224;000000;269.3200000
SBER;D;20201225;000000;270.6400000
SBER;D;20201228;000000;274.7000000
SBER;D;20201229;000000;272.0000000
SBER;D;20201230;000000;271.6500000
SBER;D;20210104;000000;272.0000000
SBER;D;20210105;000000;275.2000000
SBER;D;20210106;000000;272.9300000
SBER;D;20210108;000000;283.6400000
SBER;D;20210111;000000;289.4900000
SBER;D;20210112;000000;289.9900000
SBER;D;20210113;000000;283.7800000
SBER;D;20210114;000000;284.7900000
SBER;D;20210115;000000;276.9000000
SBER;D;20210118;000000;279.7900000
SBER;D;20210119;000000;278.1900000
SBER;D;20210120;000000;279.8000000
SBER;D;20210121;000000;274.4000000
SBER;D;20210122;000000;268.2500000
SBER;D;20210125;000000;265.3000000
SBER;D;20210126;000000;269.3400000
SBER;D;20210127;000000;265.5000000
SBER;D;20210128;000000;265.9600000
SBER;D;20210129;000000;258.1100000
SBER;D;20210201;000000;263.8000000
SBER;D;20210202;000000;263.1500000
SBER;D;20210203;000000;263.5300000
SBER;D;20210204;000000;270.1100000
SBER;D;20210205;000000;271.7000000
SBER;D;20210208;000000;275.2000000
SBER;D;20210209;000000;268.9800000
SBER;D;20210210;000000;265.9000000
SBER;D;20210211;000000;264.7000000
SBER;D;20210212;000000;266.0000000
SBER;D;20210215;000000;271.8100000
SBER;D;20210216;000000;270.9000000
SBER;D;20210217;000000;270.9000000
SBER;D;20210218;000000;266.9900000
SBER;D;20210219;000000;271.3400000
SBER;D;20210220;000000;270.5100000
SBER;D;20210222;000000;273.7100000
SBER;D;20210224;000000;271.9000000
SBER;D;20210225;000000;270.7100000
SBER;D;20210226;000000;270.1700000
SBER;D;20210301;000000;273.5800000
SBER;D;20210302;000000;279.1000000
SBER;D;20210303;000000;278.0100000
SBER;D;20210304;000000;274.7500000
SBER;D;20210305;000000;277.5000000
SBER;D;20210309;000000;285.7900000
SBER;D;20210310;000000;282.2400000
SBER;D;20210311;000000;286.0000000
SBER;D;20210312;000000;284.9300000
SBER;D;20210315;000000;292.7400000
SBER;D;20210316;000000;292.3300000
SBER;D;20210317;000000;283.3500000
SBER;D;20210318;000000;279.2500000
SBER;D;20210319;000000;285.4700000
SBER;D;20210322;000000;288.6500000
SBER;D;20210323;000000;282.6000000
SBER;D;20210324;000000;285.7900000
SBER;D;20210325;000000;286.6600000
SBER;D;20210326;000000;291.2200000
SBER;D;20210329;000000;293.3000000
SBER;D;20210330;000000;293.2500000
SBER;D;20210331;000000;291.0200000
SBER;D;20210401;000000;290.2400000
SBER;D;20210402;000000;291.7000000
SBER;D;20210405;000000;288.7800000
SBER;D;20210406;000000;281.5000000
SBER;D;20210407;000000;283.9800000
SBER;D;20210408;000000;283.8900000
SBER;D;20210409;000000;281.0700000
SBER;D;20210412;000000;281.7500000
SBER;D;20210413;000000;287.9500000
SBER;D;20210414;000000;287.1800000
SBER;D;20210415;000000;283.7200000
SBER;D;20210416;000000;288.5000000
SBER;D;20210419;000000;287.7200000
SBER;D;20210420;000000;287.4200000
SBER;D;20210421;000000;289.2500000
SBER;D;20210422;000000;292.1800000
