<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SNGSP;D;20201123;000000;38.9900000
SNGSP;D;20201124;000000;39.0100000
SNGSP;D;20201125;000000;39.4700000
SNGSP;D;20201126;000000;39.6850000
SNGSP;D;20201127;000000;40.1600000
SNGSP;D;20201130;000000;40.0000000
SNGSP;D;20201201;000000;40.0450000
SNGSP;D;20201202;000000;40.4000000
SNGSP;D;20201203;000000;39.9000000
SNGSP;D;20201204;000000;39.1800000
SNGSP;D;20201207;000000;39.1250000
SNGSP;D;20201208;000000;39.2900000
SNGSP;D;20201209;000000;38.8750000
SNGSP;D;20201210;000000;39.2600000
SNGSP;D;20201211;000000;40.2400000
SNGSP;D;20201214;000000;40.2350000
SNGSP;D;20201215;000000;40.1300000
SNGSP;D;20201216;000000;40.1150000
SNGSP;D;20201217;000000;39.9100000
SNGSP;D;20201218;000000;40.2600000
SNGSP;D;20201221;000000;40.7700000
SNGSP;D;20201222;000000;41.4150000
SNGSP;D;20201223;000000;41.3300000
SNGSP;D;20201224;000000;40.8250000
SNGSP;D;20201225;000000;41.1450000
SNGSP;D;20201228;000000;41.1350000
SNGSP;D;20201229;000000;41.6700000
SNGSP;D;20201230;000000;41.9150000
SNGSP;D;20210104;000000;42.1250000
SNGSP;D;20210105;000000;42.1500000
SNGSP;D;20210106;000000;41.8150000
SNGSP;D;20210108;000000;42.4750000
SNGSP;D;20210111;000000;42.3850000
SNGSP;D;20210112;000000;42.2100000
SNGSP;D;20210113;000000;42.2950000
SNGSP;D;20210114;000000;42.0350000
SNGSP;D;20210115;000000;41.9150000
SNGSP;D;20210118;000000;42.2800000
SNGSP;D;20210119;000000;41.9250000
SNGSP;D;20210120;000000;41.8450000
SNGSP;D;20210121;000000;41.2700000
SNGSP;D;20210122;000000;41.7150000
SNGSP;D;20210125;000000;41.6000000
SNGSP;D;20210126;000000;41.4800000
SNGSP;D;20210127;000000;41.2550000
SNGSP;D;20210128;000000;41.0950000
SNGSP;D;20210129;000000;40.2550000
SNGSP;D;20210201;000000;40.7550000
SNGSP;D;20210202;000000;40.8450000
SNGSP;D;20210203;000000;40.7950000
SNGSP;D;20210204;000000;41.0400000
SNGSP;D;20210205;000000;40.6900000
SNGSP;D;20210208;000000;40.7700000
SNGSP;D;20210209;000000;40.2800000
SNGSP;D;20210210;000000;40.2750000
SNGSP;D;20210211;000000;40.2400000
SNGSP;D;20210212;000000;40.2350000
SNGSP;D;20210215;000000;40.1950000
SNGSP;D;20210216;000000;40.0600000
SNGSP;D;20210217;000000;40.0100000
SNGSP;D;20210218;000000;39.8250000
SNGSP;D;20210219;000000;39.7350000
SNGSP;D;20210220;000000;40.0300000
SNGSP;D;20210222;000000;39.7850000
SNGSP;D;20210224;000000;39.6550000
SNGSP;D;20210225;000000;39.4350000
SNGSP;D;20210226;000000;39.2800000
SNGSP;D;20210301;000000;39.6900000
SNGSP;D;20210302;000000;40.0950000
SNGSP;D;20210303;000000;40.1500000
SNGSP;D;20210304;000000;39.7450000
SNGSP;D;20210305;000000;40.1400000
SNGSP;D;20210309;000000;40.7150000
SNGSP;D;20210310;000000;40.5550000
SNGSP;D;20210311;000000;40.2300000
SNGSP;D;20210312;000000;40.2850000
SNGSP;D;20210315;000000;40.7000000
SNGSP;D;20210316;000000;40.5050000
SNGSP;D;20210317;000000;40.2800000
SNGSP;D;20210318;000000;39.9900000
SNGSP;D;20210319;000000;39.9950000
SNGSP;D;20210322;000000;40.1500000
SNGSP;D;20210323;000000;40.5800000
SNGSP;D;20210324;000000;40.5800000
SNGSP;D;20210325;000000;40.8200000
SNGSP;D;20210326;000000;41.6300000
SNGSP;D;20210329;000000;41.7100000
SNGSP;D;20210330;000000;41.4650000
SNGSP;D;20210331;000000;42.0100000
SNGSP;D;20210401;000000;42.4450000
SNGSP;D;20210402;000000;42.9850000
SNGSP;D;20210405;000000;42.6550000
SNGSP;D;20210406;000000;42.6750000
SNGSP;D;20210407;000000;42.8350000
SNGSP;D;20210408;000000;42.5550000
SNGSP;D;20210409;000000;42.2650000
SNGSP;D;20210412;000000;42.5400000
SNGSP;D;20210413;000000;42.4500000
SNGSP;D;20210414;000000;42.6400000
SNGSP;D;20210415;000000;42.6350000
SNGSP;D;20210416;000000;42.6200000
SNGSP;D;20210419;000000;42.6350000
SNGSP;D;20210420;000000;43.4250000
SNGSP;D;20210421;000000;43.7700000
SNGSP;D;20210422;000000;43.5400000
SNGSP;D;20210423;000000;43.0650000
SNGSP;D;20210426;000000;43.1400000
SNGSP;D;20210427;000000;43.1650000
SNGSP;D;20210428;000000;42.9550000
SNGSP;D;20210429;000000;42.9100000
SNGSP;D;20210430;000000;43.0000000
SNGSP;D;20210504;000000;43.1300000
SNGSP;D;20210505;000000;43.3000000
SNGSP;D;20210506;000000;43.6800000
SNGSP;D;20210507;000000;43.9200000
SNGSP;D;20210510;000000;44.2050000
SNGSP;D;20210511;000000;44.8950000
SNGSP;D;20210512;000000;44.8300000
SNGSP;D;20210513;000000;45.1450000
SNGSP;D;20210514;000000;44.9950000
SNGSP;D;20210517;000000;45.2650000
SNGSP;D;20210518;000000;45.4200000
SNGSP;D;20210519;000000;46.3350000
SNGSP;D;20210520;000000;46.0400000
SNGSP;D;20210521;000000;46.1150000
SNGSP;D;20210524;000000;46.4450000
SNGSP;D;20210525;000000;46.9850000
SNGSP;D;20210526;000000;46.5950000
SNGSP;D;20210527;000000;46.4450000
SNGSP;D;20210528;000000;46.3850000
SNGSP;D;20210531;000000;46.6950000
SNGSP;D;20210601;000000;46.8150000
SNGSP;D;20210602;000000;46.9100000
SNGSP;D;20210603;000000;46.8500000
SNGSP;D;20210604;000000;46.7100000
SNGSP;D;20210607;000000;46.6300000
SNGSP;D;20210608;000000;46.5600000
SNGSP;D;20210609;000000;46.3300000
